,name,description
0,Brexily,"Brexily is one of many prominent products developed by Everus Technologies in a mission to expand the Everus World Ecosystem to pioneer the widespread adoption of cryptocurrency.

Targeted to mass crypto adopters, Brexily is a one-stop platform offering optimal services from procuring, spending to earning cryptocurrency. Aim to elevate the user’s trading experience, Brexily is developed to extend the usability of cryptocurrency by providing an easy solution that caters to the needs and demands of today’s market segment simultaneously, expanding the trading community."
1,CPDAX,"CPDAX, also known as Coinplug Digital Assets Exchange, is the latest digital currency trading platform venture by highly acclaimed South Korean company Coinplug. It launched in September 2017. The exchange is available in the following languages: English, Korean and Chinese. CPDAX does not explicitly state that US-investors are prohibited from trading."
2,AltQuick.com,Xploited created Xchange. Xploited created CLAMCOIN and helped developed Digibyte. BayAreaCoins is the majority share holder of Xchange.
3,PancakeSwap,
4,BoostX,We have built Boost X Exchange with very precise objective which is to help both Buyers and Sellers accomplish their goal effortlessly and securely. Buy and sell popular digital currencies.keep track of them in the one place. For added security store your funds in vault with time delayed withdrawals.
5,Maverick Protocol,
6,OKCoin.cn,
7,B2BX,"B2BX’s team, according to the official website, “consists of 35 highly qualified specialists that are located in 3 different countries.” Key members of the team include Founder and CEO Artur Azizov, COO Evgeniya Mykulyak, CTO Vlad Posivenko, and CFO Olga Tkachenko. The company was founded in 2014, when they launched two products called White Label MT4/MT5 and Traders Room for brokers. B2BX aims to make it easier for customers to compete by working as an exchange aggregator, providing a pool of liquidity connecting the marketplace across multiple exchanges."
8,MyBitExa,"Launched on 10/10/2019, MyBitExa is a centralized exchange based in 19 Waterfront Drive, Road Town, Tortola VG 1110, British Virgin Islands. It supports crypto trading pairs, crypto deposits, crypto withdrawals, and custodial wallets. The focus is on being a crypto firendly exchange. We also support masternode coins."
9,Solidus,"Solidus is a trading platform, their team has been working on the project since 2019."
10,ExMarkets,
11,Bisq,"Bisq, which was previously known as Bitsquare is a decentralized, peer-to-peer cryptocurrency exchange. Bisq is not a company, but a “Decentralized Autonomous Organization” (DAO). The project was started in 2014, by Manfred Karrer, as a means of keeping the original spirit of Bitcoin alive, even through the exchanges on which it is traded. "
12,Trade By Trade,"Trade By Trade is a crypto-exchange that offers only crypto-to-crypto spot trading, as well as margin trading. According their website, their service are owned by Trade By Trade Ltd., a Vanuatu IBC (Trade By Trade) with Dealers in Securities License #40198. The platform follows the European Data Protection Procedures."
13,Go4mark,"GTF Exchange is the world's leading place to trade cryptocurrencies, GTF Exchange is one of the first ports of call for many when it comes to Bitcoin, Ethereum, and the rest. GTF Exchange 's app for iOS and Android allows users to buy and sell cryptocurrencies and track prices. It's also a capable wallet for your money, and when it's time to spend, GTF Exchange will help you find merchants who accept cryptocurrencies as payment."
14,GO.Exchange,"GO.Exchange is the newest subsidiary of Omise Holdings, founded in September 2018. GO.Exchange is committed to upholding high standards for transparency to create a sustainable, long lasting exchange. GO.Exchange also provides a unique transaction fee and token burn model."
15,Flybit,"FLYBIT is fast growing digital asset exchange established by Korea Digital Exchange Co., Ltd. operating since 2018 with more than 80 trading pairs in KRW, BTC, USDT. FLYBIT boasts excellence in security, customer service, variety of altcoins, high liquidity, intuitive UX, and a member of the Korea Blockchain Association."
16,LINTAX,"LINTAX is one of the fastest growing cryptocurrency derivatives exchange, with more than a lot of registered users. Built on customer-centric values, we endeavor to provide a professional, smart, intuitive and innovative trading experience to better serve our customers in a timely manner.

We have added Arbitrage Trading as an Added Feature for our Users, We are working to give a Debit Card to Withdraw funds from our Exchange, and we are also working to give other latest services to the People who are using our Services

We are committed to creating a fair, transparent and efficient trading environment, and offer 24/7 multi-language support as part of our service."
17,BitAsset,"BitAsset is a leading global financial trading platform of digital assets. It supports a variety financial services such as fiat currency deposits with numerous deposit methods and currencies, wallet custody, spot trading, margin trading and short selling. With BitAsset, users have access to various professional financial products for digital assets such as futures, derivatives and index ETFs. The platform also provides an automated market monitoring system to warn users of transaction risks in advance and guarantee the safety of users' asset. BitAsset forms a complete digital banking system with a professional team composing more than 1,000 account managers to provide 24/7 advisory services and support to traders."
18,Crex24,"CREX24 is cryptocurrency exchange targeting Russian-speaking clients. It was set up in 2017 and offers trading in cryptocurrencies for fiat currencies and cryptocurrencies for cryptocurrencies. CREX24 offers several payment options for fiat currencies: Bank cards, e-wallets (Skrill, WebMoney, Qiwi, etc.) and electronic payment platforms (Neteller, Payeer, etc.)."
19,BitShares DEX,"The BitShares Blockchain is an industrial-grade decentralized platform built for high-performance financial smart contracts mostly known for: its token factory, a decentralized exchange as a built-in native dapp (known as the DEX) and its stablecoins or, as they are called in BitShares, Smartcoins. It represents the first decentralized autonomous community that lets its core token holders decide on its future direction and products by means of on-chain voting. It is also the first DPoS blockchain in existence and the first blockchain to implement stablecoins."
20,Mylocalcoin,"We have built Mylocalcoin Exchange with very precise objective which is to help both Buyers and Sellers accomplish their goal effortlessly and securely. Buy and sell popular digital currencies, keep track of them in the one place. For added security store your funds in vault with time delayed withdrawals."
21,Counos Exchange,"Counos s.r.o. is a company registered in the country of Slovakia with the registration number «51 285 037» that has the permit to work in the field of trading cryptocurrencies and fiat money. This company has tried to establish its trading platforms in order to facilitate the process of exchanging cryptocurrencies to one another and the possibility of buying and selling them in a completely legal way with fiat money so that customers of this service would be able to engage in their trades with the utmost security and with proper speed.

Also, Counos will review and guarantee the security and authentication of transactions and exchanges. Furthermore, with respect to legal responsibilities, Counos will prevent any activity that would lead to illegal actions.

By relying on the experts in its team, Counos will constantly try to improve the offered services and the extensiveness of supported cryptocurrencies. For this reason, Counos awaits the feedback of customers and users of this service in order to create a better customer experience."
22,AfroDex,
23,eXchangily,"eXchangily is a new decentralized exchange model built on the prominent Fast Access Blockchain. It is the worlds first cross chain DEX. It carries the best of a centralized exchange, namely the speed and ease of use, with all the security benefits of a decentralized exchange.

Users retain control over their funds, their private keys, and their transaction information is transparent and secure. Individuals can trade, and enterprises can transact on eXchangily with ERC20 tokens and other cryptocurrencies. It is a fully democratic and autonomous platform."
24,Dgtmarket,DGT Market is a new Polish cryptocurrency exchange that offers trading in Bitcoin and Litecoin for PLN and LTC/BTC.
25,GOPAX,"Gopax is a South Korean cryptocurrency exchange. Gopax gives the details of the company which runs it and the people behind it. They do accept bank transfers in KRW, which allows locals to enter the cryptoverse."
26,Balancer (Polygon Network),
27,TOKOK,
28,BtcTrade.im,BTCTrade.im is a Chinese cryptocurrency exchange. BTCTrade.im does not explicitly forbid US-investors from trading on its exchange. BTCTrade.im does not accept any other deposit method than cryptocurrencies.
29,Token Store,"Token Store is one of the oldest, fully trustless decentralized exchanges in the ecosystem. It operates trustless exchanges on the ETH and EOS networks."
30,Narkasa,"Launched on 01/07/2020, Narkasa is a centralized exchange based in İstanbul/Turkey. It claims to support TRY deposit/withdrawals through its integration with Turkish banks. Narkasa currently offers Turkish Lira, USDT, and BTC pairs."
31,Redot,"REDOT is an EU regulated digital asset exchange. Run by a team of industry veterans, Redot sets the industry standard by providing institutional, professional and retail investors with a powerful platform to trade digital assets instantly and securely with the lowest commissions."
32,1inch Liquidity Protocol,
33,ATOMARS,"ATOMARS is a global digital asset trading platform that bridges the worlds of fiat and cryptocurrencies. As a fast and secure digital assets exchange platform our mission is to make the cryptocurrency trading fast, easy and secure for everyone around the world.

"
34,Loopring,"Loopring is a protocol for building high-performance, non-custodial, orderbook exchanges on Ethereum using zkRollup. Our infrastructure leverages zkSNARKs to scale throughput, lower cost, and build DEXs that feel as performant as centralized alternatives - with 100% Ethereum security guarantees."
35,02x6,
36,SPERO,
37,BitcoinTrade,"BitcoinTrade.Com.br is a cryptocurrency trading platform that can only be used for Brazilians. The company was founded by four people that were interested in bringing Bitcoin trading to the mainstream investors of Brazil. They are Carlos André Montenegro (CEO), a digital entrepreneur, Daniel Coquieri (COO), from the tech sector, Fabio Santos (CSO) which has a background of more than 20 years in the tech and security sector and Jorn Filho (CTO), also a digital entrepreneur. Based in Rio de Janeiro, Brazil, the company is fully audited and compliant with the Brazilian laws."
38,BitBegin,The main purpose of Bitbegin is to build an exchange in which the community would share in the prosperity of the platform.
39,Nuex,NUEX is a digital trading platform that focuses on the movement between cryptocurrencies from one user to another. It provides a reliable platform that experienced traders can use to transfer digital assets. Traders must be prepared to follow AML/KYC rules as applicable in the EU.
40,DeFi Scan,
41,Sunswap V3,
42,Bibo,"Bibo Exchange is a Europe-based cryptocurrency exchange integrated with a connected ecommerce platform (www.bibo.market), creating an ecosystem that allows its users to not only trade but also spend their crypto assets. Making use of cryptocurrency’s advantages in international payment settlement (fast, borderless and no middlemen), Bibo Market is aiming to empower merchants and online shoppers world-wide to buy and sell goods internationally with less intermediaries."
43,Moonlift Capital DEX,"Investing in DeFi tokens can be complex, with many DeFi platforms integrating interfaces that are not user-friendly. MoonLift Capital changes this with a DEX built to ensure everyone can access and interact with DeFi products without any problems.

It is a truly-community driven project that offers users the opportunity to earn passive income by placing their capital in innovative DeFi products. MoonLift DEX ecosystem includes a venture capital and the launchpad and NFT marketplace are on the roadmap to be accomplished next year.

Like a traditional DEX, users will be able to swap between tokens and provide liquidity for token swaps in exchange for fees generated from the token pool. However, MoonLift DEX goes beyond swaps and provides a staking pool, where users can stake MLPx tokens for interests.

MLTPx holders will be able to make swaps at a lower transaction fee on Moonlift Dex (0.2%) compared to popular Binance Smart Chain DEX PancakeSwap (0.25%)."
44,Coindelta,Coindelta is an Indian cryptocurrency exchange that offers trading in some of the most popular cryptocurrencies against the local currency (INR). Coin-to-coin trading is also available. It was founded by Rajdeep Singh and the entity is called Bitfair Technologies Private Limited.
45,Bitbank,The Bitbank exchange and services were launched in 2014 with their company being based out of Japan and is under the regulation of the Japanese Financial Services Agency (JFSA). The only fiat currency supported for exchanging with cryptocurrencies is the Japanese Yen (JPY).
46,Biki,
47,ChaoEX,"ChaoEX is a Hong Kong based exchange with a focus on Southeast Asian Markets. It offers low-cost trading in wide range of digital currencies. Fiat currencies, like the Chinese Yuan and the US dollar are not accepted at ChaoEX."
48,MCash Exchange,"MBCash Token and Crypo Currency Decentralized Exchange.
Ethereum with ERC20 Token and BNB with BEP20 Token and Tron with TRC20 Token Base Decentralized Exchange Platform"
49,UrduBit,0
50,Yum Yum Swap,"Yum Yum goes beyond being just another meme coin. It's a dynamic movement fueled by a passionate community that recognizes the potential of memes, laughter, and financial empowerment. Our core mission is to incentivize and provide seamless access to the Main-net, all while fostering a united community-driven project that shines with promise.

Embrace the power of Yum Yum Swap! Our groundbreaking protocol empowers decentralized trading and concentrated liquidity provision, revolutionizing the way you engage in the crypto world. Join us in this thrilling journey toward financial freedom and community-driven success. Experience the Yum Yum difference today!"
51,MergeDEX,
52,OKCoin,"Founded in 2013, OKCoin is a world digital asset trading platform. OKCoin currently provides fiat trading with major digital assets, including Bitcoin, Bitcoin Cash, Ethereum, Ethereum Classic, and Litecoin. OKCoin has recently expanded to the United States and is looking to serve more users around the world in the future."
53,Kineticex,"Automated purchase/sale of virtual currencies, tokens, as well as purchase and sale for fiat money and CFD trading on virtual currencies. Wide range of clients terminals including Windows, Web and Mobile. Kinetic Revolution is providing APIs Web RESTFUL API, WebSocket and FIX to connect through easily. Margin trading, PAMM and exchange of an unlimited number of Crypto instruments with the possibility of adding your own or ICO tokens, including ERC20. Introducing unique liquidity aggregation technology."
54,HCoin,"HCoin is an overseas registered cryptocurrency trading platform dedicated to providing users with safe, fast and stable full services. The platform business covers comprehensive services such as cryptocurrency trading, big data analysis and digital asset management. HCoin.com receives Starlight Capital, Guanghe Capital, Engine Capital, Cloud Capital, Three-Chain Capital, Chain Capital, BD Fund, BW Fund, YC Fund, Richway Fund, NewBlock Capital, BlockRock Capital, SKYCC Capital, Beecool, etc. dozens of cornerstone strategic investments. HCoin.com has a top international financial management team, comprehensive and long-term development planning, and the future development potential is immeasurable."
55,CEX.IO Broker,"Established in 2019, CEX.IO Broker is a cryptocurrency margin trading platform based on a derivative instrument - contract for difference. The derivative markets available on the platform include: cryptocurrencies, major equities, traditional currencies, and precious metals. With multi-accounts and multi-currency options, CEX.IO Broker lets you execute leveraged trading strategies of any level of complexity, while managing your exposures."
56,Beethoven X,"Built on Balancer V2, Beethoven X is the first next-generation AMM protocol on Fantom Opera."
57,CoinZest,
58,Ubit,
59,Kucoin,"Kucoin was founded by a group with a passion for the blockchain who had already built up strong reputations at industry giants, such as GF Securities, Ant Financial, Youling, Jianbang Communication, and iBOX PAY. To put Kucoin’s youth into perspective, the research and development team was only assembled in May 2017. <br> <br>

Exchange assets (transparency): <br>
$2 576 260 343 - according to nansen.ai, <br>
$2 314 296 283 - according to defillama.com
<br> <br>
Disclaimer - data is sourced from third-party and static at the current moment, we don't know about distribution of funds, it's relayed from exchanges, thus 3rd-party full independent audits is required for full picture"
60,TCC Exchange,
61,CoinEx Market,
62,Uniswap V3 (Polygon Network),
63,Bitenium,The Bitenium Exchange is a new-gen cryptocurrency trading platform. Automate your trading and take your emotion out of the equation. Use expert tools without coding skills. Invest in all cryptocurrencies that your exchange offers. High liquidity and secure wallet.
64,MyXtrade,"MWallet SwapDex, Non Custodial Token Wallet on the Binance Smart Chain, has integrated with Transak Reliable Fiat / Off Transak Aggregator .
This partnership will allow users to purchase crypto through MWallet SwapDex directly to their Token Pocket Wallet or many other wallets using a credit card or bank transfer.

MWallet is the first Malaysian DEX to implement these kind of crypto purchases directly onto non-custodial wallets via Transak and the partnership demonstrates the Defi’s commitment to making DeFi accessible to the average retail investor or User.

MWallet SwapDex is a suite of DeFi tools that allows its users to engage in a myriad of different DeFi functions through one easy to use protocol. With MWallet SwapDex, users can add capital to liquidity pools, stake tokens, and yield farm all on one easy-to-use interface.

MWallet SwapDex is the first Malaysian decentralized swap protocol to integrate a fiat gateway on Transak as part of its service.
The innovative new integration with Transak will allow MYMC Token Holders and Traders or swappers to transfer FIAT directly into crypto tokens without the need for going through a centralized Defi or Exchange."
65,Tokkea,
66,Five Star Exchange,"Five Star Exchange is a P2P crypto-Products Trading platform. Five Star Exchange is the world’s most advanced cryptocurrency exchange, Launched on 26th January 2020. Five Star Exchange has been providing markets for FIVE star Coin, Bitcoin, Ethereum, TUSD, BNB, TRX and more than 65 cryptocurrencies in total. Five Star Exchange and the Mobile Apps issued under Five Star Exchange are wholly owned and operated by & Developed by Venaayat Tech Solutions Private Limited, India. The founding team at Five Star Exchange consists of High Class professionals in Web Development, Finance, and High Frequency Algorithmic Trading operations around the world. In addition, it also serves as a coin-to-coin and P2P trading platform geared to global market. Key Features : Website, Android Application. Real-time clearing and cutting-edge order matching algorithms. The most advanced API on the market Access to the crypto assets exchange platform technology is provided in accordance with the Terms of Service."
67,NebliDex,"A decentralized exchange where you can trade Neblio for Bitcoin, Litecoin and NTP1 tokens without use of payment gateways."
